mdl,category,sta,sta_s,ata,ata_s,cost_5,cost_15,cost_30,cost_60
B738,Medium,15:00:00,54000,15:00:26,54026,0.83,1.28,2.1,4.38
B738,Medium,15:00:00,54000,15:36:18,56178,0.83,1.28,2.1,4.38
B744,Heavy,15:03:00,54180,15:03:00,54180,2.37,3.42,5.58,11.79
A320,Medium,15:05:00,54300,14:47:59,53279,0.83,1.25,2.02,4.19
A320,Medium,15:05:00,54300,14:55:40,53740,0.83,1.25,2.02,4.19
B744,Heavy,15:05:00,54300,15:05:00,54300,2.37,3.42,5.58,11.79
A343,Heavy,15:07:00,54420,15:07:00,54420,1.63,2.39,3.94,8.42
B772,Heavy,15:09:00,54540,15:09:00,54540,1.83,2.68,4.41,9.35
A321,Medium,15:10:00,54600,15:21:12,55272,0.93,1.42,2.37,4.97
B738,Medium,15:10:00,54600,15:23:07,55387,0.83,1.28,2.1,4.38
B772,Heavy,15:12:00,54720,15:12:00,54720,1.83,2.68,4.41,9.35
XXXX,Light,15:13:00,54780,15:13:00,54780,0.12,0.19,0.33,0.75
A320,Medium,15:15:00,54900,15:01:40,54100,0.83,1.25,2.02,4.19
XXXX,Light,15:15:00,54900,15:15:00,54900,0.12,0.19,0.33,0.75
B738,Medium,15:15:00,54900,14:51:36,53496,0.83,1.28,2.1,4.38
A333,Heavy,15:15:00,54900,15:15:00,54900,1.57,2.31,3.79,8.04
A343,Heavy,15:16:00,54960,15:16:00,54960,1.63,2.39,3.94,8.42
B772,Heavy,15:17:00,55020,15:17:00,55020,1.83,2.68,4.41,9.35
A319,Medium,15:20:00,55200,15:17:17,55037,0.73,1.12,1.8,3.68
B744,Heavy,15:20:00,55200,15:20:00,55200,2.37,3.42,5.58,11.79
A333,Heavy,15:20:00,55200,15:20:00,55200,1.57,2.31,3.79,8.04
B744,Heavy,15:20:00,55200,15:20:00,55200,2.37,3.42,5.58,11.79
B744,Heavy,15:21:00,55260,15:21:00,55260,2.37,3.42,5.58,11.79
B772,Heavy,15:22:00,55320,15:22:00,55320,1.83,2.68,4.41,9.35
XXXX,Light,15:23:00,55380,15:23:00,55380,0.12,0.19,0.33,0.75
A333,Heavy,15:23:00,55380,15:23:00,55380,1.57,2.31,3.79,8.04
B77W,Heavy,15:24:00,55440,15:24:00,55440,2.97,4.37,7.09,14.74
CRJX,Medium,15:25:00,55500,15:33:56,56036,0.35,0.51,0.85,1.84
XXXX,Light,15:29:00,55740,15:29:00,55740,0.12,0.19,0.33,0.75
A320,Medium,15:30:00,55800,15:30:51,55851,0.83,1.25,2.02,4.19
CRJX,Medium,15:30:00,55800,15:31:38,55898,0.35,0.51,0.85,1.84
A343,Heavy,15:31:00,55860,15:31:00,55860,1.63,2.39,3.94,8.42
XXXX,Light,15:32:00,55920,15:32:00,55920,0.12,0.19,0.33,0.75
A333,Heavy,15:33:00,55980,15:33:00,55980,1.57,2.31,3.79,8.04
A321,Medium,15:35:00,56100,16:19:26,58766,0.93,1.42,2.37,4.97
A343,Heavy,15:35:00,56100,15:35:00,56100,1.63,2.39,3.94,8.42
A320,Medium,15:35:00,56100,15:25:31,55531,0.83,1.25,2.02,4.19
XXXX,Light,15:38:00,56280,15:38:00,56280,0.12,0.19,0.33,0.75
A343,Heavy,15:39:00,56340,15:39:00,56340,1.63,2.39,3.94,8.42
XXXX,Light,15:40:00,56400,15:40:00,56400,0.12,0.19,0.33,0.75
XXXX,Light,15:40:00,56400,15:40:00,56400,0.12,0.19,0.33,0.75
B738,Medium,15:40:00,56400,15:24:21,55461,0.83,1.28,2.1,4.38
A318,Medium,15:40:00,56400,15:41:44,56504,0.74,1.09,1.78,3.73
B772,Heavy,15:41:00,56460,15:41:00,56460,1.83,2.68,4.41,9.35
A343,Heavy,15:44:00,56640,15:44:00,56640,1.63,2.39,3.94,8.42
B738,Medium,15:45:00,56700,15:42:35,56555,0.83,1.28,2.1,4.38
B77W,Heavy,15:45:00,56700,15:45:00,56700,2.97,4.37,7.09,14.74
A321,Medium,15:45:00,56700,15:44:46,56686,0.93,1.42,2.37,4.97
CRJX,Medium,15:50:00,57000,16:06:00,57960,0.35,0.51,0.85,1.84
XXXX,Light,15:51:00,57060,15:51:00,57060,0.12,0.19,0.33,0.75
B77W,Heavy,15:53:00,57180,15:53:00,57180,2.97,4.37,7.09,14.74
CRJX,Medium,15:55:00,57300,15:45:55,56755,0.35,0.51,0.85,1.84
A320,Medium,15:55:00,57300,16:08:18,58098,0.83,1.25,2.02,4.19
A319,Medium,15:55:00,57300,15:54:35,57275,0.73,1.12,1.8,3.68
A333,Heavy,15:56:00,57360,15:56:00,57360,1.57,2.31,3.79,8.04
A343,Heavy,15:59:00,57540,15:59:00,57540,1.63,2.39,3.94,8.42
B744,Heavy,15:59:00,57540,15:59:00,57540,2.37,3.42,5.58,11.79
B738,Medium,16:00:00,57600,15:49:42,56982,0.83,1.28,2.1,4.38
B77W,Heavy,16:01:00,57660,16:01:00,57660,2.97,4.37,7.09,14.74
B772,Heavy,16:02:00,57720,16:02:00,57720,1.83,2.68,4.41,9.35
A320,Medium,16:05:00,57900,16:09:22,58162,0.83,1.25,2.02,4.19
B772,Heavy,16:05:00,57900,16:05:00,57900,1.83,2.68,4.41,9.35
A320,Medium,16:05:00,57900,16:03:53,57833,0.83,1.25,2.02,4.19
A321,Medium,16:05:00,57900,16:15:58,58558,0.93,1.42,2.37,4.97
A343,Heavy,16:06:00,57960,16:06:00,57960,1.63,2.39,3.94,8.42
A343,Heavy,16:06:00,57960,16:06:00,57960,1.63,2.39,3.94,8.42
B744,Heavy,16:09:00,58140,16:09:00,58140,2.37,3.42,5.58,11.79
A319,Medium,16:10:00,58200,16:17:39,58659,0.73,1.12,1.8,3.68
B77W,Heavy,16:12:00,58320,16:12:00,58320,2.97,4.37,7.09,14.74
A343,Heavy,16:12:00,58320,16:12:00,58320,1.63,2.39,3.94,8.42
B738,Medium,16:15:00,58500,16:09:54,58194,0.83,1.28,2.1,4.38
B77W,Heavy,16:15:00,58500,16:13:03,58383,2.97,4.37,7.09,14.74
B772,Heavy,16:15:00,58500,16:15:00,58500,1.83,2.68,4.41,9.35
XXXX,Light,16:17:00,58620,16:17:00,58620,0.12,0.19,0.33,0.75
A333,Heavy,16:17:00,58620,16:17:00,58620,1.57,2.31,3.79,8.04
CRJ7,Medium,16:20:00,58800,16:12:08,58328,0.41,0.61,1.0,2.11
A320,Medium,16:20:00,58800,17:03:04,61384,0.83,1.25,2.02,4.19
