,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
0,B738,Medium,19:00:00,68400,18:49:51,67791,0.83,1.28,2.1,4.38
1,A320,Medium,19:05:00,68700,19:01:30,68490,0.83,1.25,2.02,4.19
2,B737,Medium,19:05:00,68700,18:43:33,67413,0.89,1.31,2.13,4.44
3,A320,Medium,19:10:00,69000,19:02:38,68558,0.83,1.25,2.02,4.19
4,A319,Medium,19:10:00,69000,19:21:27,69687,0.73,1.12,1.8,3.68
5,B738,Medium,19:15:00,69300,19:06:25,68785,0.83,1.28,2.1,4.38
6,A320,Medium,19:15:00,69300,19:05:27,68727,0.83,1.25,2.02,4.19
7,B77W,Heavy,19:16:00,69360,19:16:00,69360,2.97,4.37,7.09,14.74
8,A320,Medium,19:20:00,69600,19:15:38,69338,0.83,1.25,2.02,4.19
9,B738,Medium,19:20:00,69600,18:55:29,68129,0.83,1.28,2.1,4.38
10,AT45,Medium,19:25:00,69900,19:31:58,70318,0.26,0.38,0.61,1.27
11,A318,Medium,19:25:00,69900,19:30:50,70250,0.74,1.09,1.78,3.73
12,A343,Heavy,19:28:00,70080,19:28:00,70080,1.63,2.39,3.94,8.42
13,B77W,Heavy,19:29:00,70140,19:29:00,70140,2.97,4.37,7.09,14.74
14,E145,Medium,19:30:00,70200,20:04:49,72289,0.3,0.45,0.73,1.55
15,XXXX,Light,19:32:00,70320,19:32:00,70320,0.12,0.19,0.33,0.75
16,XXXX,Light,19:34:00,70440,19:34:00,70440,0.12,0.19,0.33,0.75
17,A319,Medium,19:35:00,70500,19:26:09,69969,0.73,1.12,1.8,3.68
18,XXXX,Light,19:38:00,70680,19:38:00,70680,0.12,0.19,0.33,0.75
19,B77W,Heavy,19:39:00,70740,19:39:00,70740,2.97,4.37,7.09,14.74
20,A333,Heavy,19:39:00,70740,19:39:00,70740,1.57,2.31,3.79,8.04
21,A320,Medium,19:40:00,70800,19:21:13,69673,0.83,1.25,2.02,4.19
22,B744,Heavy,19:41:00,70860,19:41:00,70860,2.37,3.42,5.58,11.79
23,B744,Heavy,19:43:00,70980,19:43:00,70980,2.37,3.42,5.58,11.79
24,XXXX,Light,19:44:00,71040,19:44:00,71040,0.12,0.19,0.33,0.75
25,E145,Medium,19:45:00,71100,19:27:44,70064,0.3,0.45,0.73,1.55
26,E170,Medium,19:45:00,71100,19:55:46,71746,0.46,0.67,1.1,2.31
27,XXXX,Light,19:45:00,71100,19:45:00,71100,0.12,0.19,0.33,0.75
28,A333,Heavy,19:47:00,71220,19:47:00,71220,1.57,2.31,3.79,8.04
29,CRJX,Medium,19:50:00,71400,19:47:34,71254,0.35,0.51,0.85,1.84
30,B77W,Heavy,19:50:00,71400,19:50:00,71400,2.97,4.37,7.09,14.74
31,A321,Medium,19:50:00,71400,19:59:32,71972,0.93,1.42,2.37,4.97
32,XXXX,Light,19:50:00,71400,19:50:00,71400,0.12,0.19,0.33,0.75
33,XXXX,Light,19:52:00,71520,19:52:00,71520,0.12,0.19,0.33,0.75
34,A320,Medium,19:55:00,71700,19:41:40,70900,0.83,1.25,2.02,4.19
35,XXXX,Light,19:55:00,71700,19:55:00,71700,0.12,0.19,0.33,0.75
36,XXXX,Light,20:01:00,72060,20:01:00,72060,0.12,0.19,0.33,0.75
37,XXXX,Light,20:02:00,72120,20:02:00,72120,0.12,0.19,0.33,0.75
38,A320,Medium,20:05:00,72300,20:31:09,73869,0.83,1.25,2.02,4.19
39,CRJX,Medium,20:05:00,72300,20:06:22,72382,0.35,0.51,0.85,1.84
40,A343,Heavy,20:06:00,72360,20:06:00,72360,1.63,2.39,3.94,8.42
41,A333,Heavy,20:06:00,72360,20:06:00,72360,1.57,2.31,3.79,8.04
42,B744,Heavy,20:09:00,72540,20:09:00,72540,2.37,3.42,5.58,11.79
43,B738,Medium,20:10:00,72600,20:44:40,74680,0.83,1.28,2.1,4.38
44,A321,Medium,20:10:00,72600,20:23:33,73413,0.93,1.42,2.37,4.97
45,A320,Medium,20:10:00,72600,20:19:43,73183,0.83,1.25,2.02,4.19
46,B772,Heavy,20:13:00,72780,20:13:00,72780,1.83,2.68,4.41,9.35
47,A343,Heavy,20:15:00,72900,20:15:00,72900,1.63,2.39,3.94,8.42
48,B77W,Heavy,20:15:00,72900,20:15:00,72900,2.97,4.37,7.09,14.74
49,A321,Medium,20:15:00,72900,20:52:44,75164,0.93,1.42,2.37,4.97
