,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
0,B738,Medium,15:00:00,54000,15:00:26,54026,0.83,1.28,2.1,4.38
1,B738,Medium,15:00:00,54000,15:36:18,56178,0.83,1.28,2.1,4.38
2,B744,Heavy,15:03:00,54180,15:03:00,54180,2.37,3.42,5.58,11.79
3,A320,Medium,15:05:00,54300,14:47:59,53279,0.83,1.25,2.02,4.19
4,A320,Medium,15:05:00,54300,14:55:40,53740,0.83,1.25,2.02,4.19
5,B744,Heavy,15:05:00,54300,15:05:00,54300,2.37,3.42,5.58,11.79
6,A343,Heavy,15:07:00,54420,15:07:00,54420,1.63,2.39,3.94,8.42
7,B772,Heavy,15:09:00,54540,15:09:00,54540,1.83,2.68,4.41,9.35
8,A321,Medium,15:10:00,54600,15:21:12,55272,0.93,1.42,2.37,4.97
9,B738,Medium,15:10:00,54600,15:23:07,55387,0.83,1.28,2.1,4.38
10,B772,Heavy,15:12:00,54720,15:12:00,54720,1.83,2.68,4.41,9.35
11,XXXX,Light,15:13:00,54780,15:13:00,54780,0.12,0.19,0.33,0.75
12,A320,Medium,15:15:00,54900,15:01:40,54100,0.83,1.25,2.02,4.19
13,XXXX,Light,15:15:00,54900,15:15:00,54900,0.12,0.19,0.33,0.75
14,B738,Medium,15:15:00,54900,14:51:36,53496,0.83,1.28,2.1,4.38
15,A333,Heavy,15:15:00,54900,15:15:00,54900,1.57,2.31,3.79,8.04
16,A343,Heavy,15:16:00,54960,15:16:00,54960,1.63,2.39,3.94,8.42
17,B772,Heavy,15:17:00,55020,15:17:00,55020,1.83,2.68,4.41,9.35
18,A319,Medium,15:20:00,55200,15:17:17,55037,0.73,1.12,1.8,3.68
19,B744,Heavy,15:20:00,55200,15:20:00,55200,2.37,3.42,5.58,11.79
20,A333,Heavy,15:20:00,55200,15:20:00,55200,1.57,2.31,3.79,8.04
21,B744,Heavy,15:20:00,55200,15:20:00,55200,2.37,3.42,5.58,11.79
22,B744,Heavy,15:21:00,55260,15:21:00,55260,2.37,3.42,5.58,11.79
23,B772,Heavy,15:22:00,55320,15:22:00,55320,1.83,2.68,4.41,9.35
24,XXXX,Light,15:23:00,55380,15:23:00,55380,0.12,0.19,0.33,0.75
25,A333,Heavy,15:23:00,55380,15:23:00,55380,1.57,2.31,3.79,8.04
26,B77W,Heavy,15:24:00,55440,15:24:00,55440,2.97,4.37,7.09,14.74
27,CRJX,Medium,15:25:00,55500,15:33:56,56036,0.35,0.51,0.85,1.84
28,XXXX,Light,15:29:00,55740,15:29:00,55740,0.12,0.19,0.33,0.75
29,A320,Medium,15:30:00,55800,15:30:51,55851,0.83,1.25,2.02,4.19
