,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
0,E170,Medium,11:00:00,39600,10:48:02,38882,0.46,0.67,1.1,2.31
1,CRJX,Medium,11:00:00,39600,11:16:07,40567,0.35,0.51,0.85,1.84
2,B738,Medium,11:00:00,39600,11:10:54,40254,0.83,1.28,2.1,4.38
3,A343,Heavy,11:04:00,39840,11:04:00,39840,1.63,2.39,3.94,8.42
4,B77W,Heavy,11:05:00,39900,11:05:00,39900,2.97,4.37,7.09,14.74
5,B733,Medium,11:05:00,39900,10:58:17,39497,0.7,1.07,1.72,3.51
6,B738,Medium,11:05:00,39900,10:50:40,39040,0.83,1.28,2.1,4.38
7,B772,Heavy,11:09:00,40140,11:09:00,40140,1.83,2.68,4.41,9.35
8,B738,Medium,11:10:00,40200,10:52:55,39175,0.83,1.28,2.1,4.38
9,B744,Heavy,11:11:00,40260,11:11:00,40260,2.37,3.42,5.58,11.79
10,A320,Medium,11:15:00,40500,11:45:48,42348,0.83,1.25,2.02,4.19
11,XXXX,Light,11:19:00,40740,11:19:00,40740,0.12,0.19,0.33,0.75
12,CRJX,Medium,11:23:00,40980,10:59:20,39560,0.35,0.51,0.85,1.84
13,A343,Heavy,11:25:00,41100,11:25:00,41100,1.63,2.39,3.94,8.42
14,B738,Medium,11:25:00,41100,11:03:54,39834,0.83,1.28,2.1,4.38
15,A318,Medium,11:25:00,41100,11:19:08,40748,0.74,1.09,1.78,3.73
16,A320,Medium,11:25:00,41100,11:07:08,40028,0.83,1.25,2.02,4.19
17,XXXX,Light,11:28:00,41280,11:28:00,41280,0.12,0.19,0.33,0.75
18,A332,Heavy,11:29:00,41340,11:24:08,41048,1.57,2.28,3.79,8.13
19,B738,Medium,11:30:00,41400,10:50:08,39008,0.83,1.28,2.1,4.38
20,A320,Medium,11:30:00,41400,11:47:01,42421,0.83,1.25,2.02,4.19
21,XXXX,Light,11:31:00,41460,11:31:00,41460,0.12,0.19,0.33,0.75
22,XXXX,Light,11:31:00,41460,11:31:00,41460,0.12,0.19,0.33,0.75
23,XXXX,Light,11:34:00,41640,11:34:00,41640,0.12,0.19,0.33,0.75
24,CRJX,Medium,11:35:00,41700,11:25:43,41143,0.35,0.51,0.85,1.84
25,XXXX,Light,11:38:00,41880,11:38:00,41880,0.12,0.19,0.33,0.75
26,B738,Medium,11:40:00,42000,12:02:36,43356,0.83,1.28,2.1,4.38
27,XXXX,Light,11:40:00,42000,11:40:00,42000,0.12,0.19,0.33,0.75
28,B744,Heavy,11:42:00,42120,11:42:00,42120,2.37,3.42,5.58,11.79
29,A320,Medium,11:45:00,42300,11:42:56,42176,0.83,1.25,2.02,4.19
30,B738,Medium,11:45:00,42300,11:38:03,41883,0.83,1.28,2.1,4.38
31,XXXX,Light,11:47:00,42420,11:47:00,42420,0.12,0.19,0.33,0.75
32,B772,Heavy,11:47:00,42420,11:47:00,42420,1.83,2.68,4.41,9.35
33,A333,Heavy,11:48:00,42480,11:48:00,42480,1.57,2.31,3.79,8.04
34,B772,Heavy,11:49:00,42540,11:49:00,42540,1.83,2.68,4.41,9.35
35,XXXX,Light,11:49:00,42540,11:49:00,42540,0.12,0.19,0.33,0.75
36,XXXX,Light,11:50:00,42600,11:50:00,42600,0.12,0.19,0.33,0.75
37,B772,Heavy,11:50:00,42600,11:50:00,42600,1.83,2.68,4.41,9.35
38,A320,Medium,11:50:00,42600,12:04:05,43445,0.83,1.25,2.02,4.19
39,XXXX,Light,11:51:00,42660,11:51:00,42660,0.12,0.19,0.33,0.75
